Date,HStart,HEnd,Matière,Type,Location,Groupe,Enseignant,,,,,,,
2024-01-15:,12:30:00,14:30:00,Anglais1,TP3,B2,1ATP3,BEIGNON D AGOSTINO LAURE,,(Updated,27/11/2023 15,26),,,
2023-09-18:,08:00:00,09:00:00,Init-Rés1,Cours,A5-A5bis,1A,FREITAS ANTONIO,,(Updated,11/07/2023 17,09),,,
2023-12-04:,14:30:00,16:30:00,SAE12,TDB-PT,"B4,C1bis",1ATDB,,(Updated,28/11/2023 18,30),,,,
2023-10-06:,08:00:00,10:00:00,Math-Signal1,TDC,A8,1ATDC,BOUAYED AYMENE,,(Updated,10/10/2023 11,17),,,
2023-09-12:,07:00:00,08:00:00,Math-Signal1,Cours,A5-A5bis,1A,COURSIMAULT DAVID,,(Updated,10/07/2023 12,45),,,
2024-01-22:,09:00:00,11:00:00,SAE15,TDC-PT,"B8,A5",1ATDC,,(Updated,27/11/2023 16,23),,,,
2023-10-20:,06:00:00,08:00:00,Math-Signal1,TDA,A8,1ATDA,MATAR HOUSSEIN,,(Updated,28/09/2023 11,28),,,
2024-01-15:,15:00:00,17:00:00,SAE14,TP2,B7,1ATP2,GIRAUD NADINE,,(Updated,27/11/2023 15,57),,,
2023-10-27:,07:00:00,10:00:00,Init-Rés1,TP4,C1bis,1ATP4,FREITAS ANTONIO,,(Updated,23/10/2023 18,04),,,
2023-12-11:,10:00:00,11:00:00,Math-Trans1,Cours,A5-A5bis,1A,COURSIMAULT DAVID,,(Updated,25/10/2023 11,49),,,
2023-11-29:,15:30:00,18:30:00,Init-Rés1 Exam,TP1,C1bis,1ATP1,BROS LAURENT,,(Updated,19/10/2023 16,51),,,
2023-10-02:,08:00:00,10:00:00,Init-Rés1,TDC,C5,1ATDC,FREITAS ANTONIO,,(Updated,25/09/2023 17,01),,,
2023-10-20:,11:30:00,13:30:00,Syst1,TP3,C5,1ATP3,JACQUET FREDERIQUE,,(Updated,05/10/2023 18,42),,,
2023-09-13:,09:00:00,10:00:00,Soutenances LPro,,B4,1ATP5,,(Updated,08/09/2023 16,54),,,,
2024-02-01:,07:00:00,09:00:00,Anglais2,TP3,B2,1ATP3,BEIGNON D AGOSTINO LAURE,,(Updated,09/01/2024 09,59),,,
2023-10-26:,11:30:00,14:30:00,Elec1,TP3,B1bis,1ATP3,CAPALLERA FLORENCE,,(Updated,20/10/2023 17,03),,,
2024-01-19:,09:00:00,11:00:00,SAE14,TP1,B7,1ATP1,GIRAUD NADINE,,(Updated,18/12/2023 10,41),,,
2023-10-05:,15:30:00,16:00:00,Présentation BDE,,A5-A5bis,1A,,(Updated,05/10/2023 11,09),,,,
2023-10-26:,12:30:00,13:30:00,SAE11,TP2,B8,1ATP2,JACQUET FREDERIQUE,,(Updated,10/10/2023 18,29),,,
2023-09-21:,11:30:00,13:30:00,SAE11,TDC,C5,1ATDC,JACQUET FREDERIQUE,,(Updated,11/09/2023 16,18),,,
2023-11-13:,14:30:00,16:30:00,Archi-Rés1,TDB,B3,1ATDB,FREITAS ANTONIO,,(Updated,14/11/2023 09,54),,,
2023-10-26:,11:30:00,13:30:00,Anglais1,TP4,B2,1ATP4,BEIGNON D AGOSTINO LAURE,,(Updated,10/10/2023 18,24),,,
2023-09-27:,12:00:00,14:00:00,Init-Rés1,TDA,B3,1ATDA,FREITAS ANTONIO,,(Updated,25/09/2023 12,18),,,
