Date,HStart,HEnd,Matière,Type,Location,Groupe,Enseignant,,,,,,,
2023-11-15:,09:30:00,11:00:00,Présentation RESINTEL,,A5-A5bis,1A,2A,,(Updated,24/10/2023 13,47),,,
2023-11-30:,07:00:00,09:00:00,SAE14,TP1,B2,1ATP1,BEIGNON D AGOSTINO LAURE,,(Updated,20/11/2023 10,39),,,
2024-01-10:,08:00:00,11:00:00,SAE13,TP3,C1,1ATP3,CAPALLERA FLORENCE,,(Updated,27/11/2023 15,48),,,
2023-10-12:,13:30:00,15:30:00,Fête de la science,,,1ATP1,1ATP2,1ATP3,1ATP4,1ATP5,,(Updated,25/09/2023 17,05)
2023-10-24:,11:30:00,14:30:00,Elec1,TP5,B1bis,1ATP5,CAPALLERA FLORENCE,,(Updated,20/10/2023 17,02),,,
2023-10-05:,08:00:00,10:00:00,Com1,TDB,B7,1ATDB,GIRAUD NADINE,,(Updated,07/07/2023 13,39),,,
2024-01-19:,12:30:00,14:30:00,SAE15,TP1,B8,1ATP1,HABACHI OUSSAMA,,(Updated,18/12/2023 10,38),,,
2023-12-04:,14:30:00,16:30:00,SAE12,TDA-PT,"C5,B3",1ATDA,,(Updated,28/11/2023 18,30),,,,
2024-01-12:,12:30:00,14:30:00,RLAN1,TDA,C7,1ATDA,FREITAS ANTONIO,,(Updated,27/11/2023 16,03),,,
2023-11-29:,08:00:00,11:00:00,Archi-Sys1,TP4,B3,1ATP4,PERRIOT ROMAIN,,(Updated,09/11/2023 18,08),,,
2023-10-17:,13:30:00,14:30:00,SAE11,TP2,B7,1ATP2,GIRAUD NADINE,,(Updated,28/09/2023 11,31),,,
2023-11-09:,15:00:00,17:00:00,Elec1,TDC,A5,1ATDC,CAPALLERA FLORENCE,,(Updated,13/10/2023 11,42),,,
2024-01-09:,07:00:00,09:00:00,PPP1,TDB,B7,1ATDB,GIRAUD NADINE,,(Updated,27/11/2023 15,28),,,
2024-01-26:,12:30:00,14:00:00,SAE12,TP3_Exam,C5,1ATP3,FREITAS ANTONIO,,(Updated,27/11/2023 15,52),,,
2023-10-17:,06:00:00,08:00:00,Com1,TDB,B7,1ATDB,GIRAUD NADINE,,(Updated,28/09/2023 11,11),,,
2023-10-03:,06:00:00,08:00:00,Init-Rés1,TDB,B3,1ATDB,HERNANDEZ SEBASTIEN,,(Updated,25/09/2023 17,19),,,
2023-11-14:,16:30:00,18:30:00,Soutien math/info,,"B8,A6",1ATDB,,(Updated,13/11/2023 16,55),,,,
2023-11-22:,09:00:00,11:00:00,SAE14,TDC,B8,1ATDC,HABACHI OUSSAMA,,(Updated,16/11/2023 16,43),,,
2023-12-11:,12:30:00,14:30:00,Math-Trans1,TDA,A6,1ATDA,COURSIMAULT DAVID,,(Updated,09/11/2023 16,27),,,
2023-10-02:,08:00:00,10:00:00,Syst1,TDA,B3,1ATDA,JACQUET FREDERIQUE,,(Updated,25/09/2023 17,01),,,
2023-10-26:,11:30:00,12:30:00,SAE11,TP2,B8,1ATP2,JACQUET FREDERIQUE,,(Updated,10/10/2023 18,29),,,
2023-10-02:,13:30:00,15:30:00,Anglais1,TDC,"B2,Labo multimédia A109",1ATDC,BEIGNON D AGOSTINO LAURE,,(Updated,27/09/2023 02,05),,,
2023-11-14:,14:30:00,16:30:00,Prog1,TP1,C5,1ATP1,SIGURET ARNAUD,,(Updated,31/10/2023 17,58),,,
2023-10-06:,11:00:00,14:00:00,Init-Rés1,TP2,B8,1ATP2,HERNANDEZ SEBASTIEN,,(Updated,28/09/2023 13,57),,,
2023-12-14:,09:00:00,11:00:00,Math-Trans1,TDC,A8,1ATDC,MATAR HOUSSEIN,,(Updated,13/11/2023 17,20),,,
2023-12-08:,12:00:00,15:00:00,Telecom1,TP4,C1,1ATP4,CAPALLERA FLORENCE,,(Updated,28/11/2023 18,47),,,
2023-12-08:,12:30:00,15:30:00,Archi-Sys1,TP3,B3,1ATP3,PERRIOT ROMAIN,,(Updated,09/11/2023 12,47),,,
2024-01-09:,07:00:00,09:00:00,Prog1,TP1,B3,1ATP1,SIGURET ARNAUD,,(Updated,27/11/2023 15,02),,,
2024-01-15:,08:00:00,11:00:00,RLAN1,TP5,C1bis,1ATP5,CHEBBI SAMAR,,(Updated,27/11/2023 14,59),,,
2023-10-12:,08:00:00,10:00:00,Syst1,TP3,C5,1ATP3,JACQUET FREDERIQUE,,(Updated,03/10/2023 10,59),,,
2024-01-16:,15:00:00,18:00:00,Archi-Rés1 Exam,TP4,B8,1ATP4,FREITAS ANTONIO,,(Updated,27/11/2023 14,54),,,
2023-11-29:,07:00:00,09:00:00,Com1,TP5,B7,1ATP5,GIRAUD NADINE,,(Updated,13/11/2023 12,05),,,
2023-11-10:,12:30:00,15:30:00,Init-Rés1,TP2,B8,1ATP2,HERNANDEZ SEBASTIEN,,(Updated,19/10/2023 16,40),,,
2023-11-09:,12:30:00,14:30:00,Web1,TDC,C5,1ATDC,PERRIOT ROMAIN,,(Updated,29/10/2023 18,01),,,
2023-12-06:,08:00:00,11:00:00,Telecom1,TP3,C1,1ATP3,CAPALLERA FLORENCE,,(Updated,09/11/2023 12,48),,,
2023-09-20:,06:00:00,08:00:00,Archi-Sys1,TDA,A5bis,1ATDA,JACQUET JEAN-PAUL,,(Updated,11/07/2023 17,13),,,
2024-01-30:,14:30:00,16:30:00,Prog2,TDA,B3,1ATDA,ZAYENE MARIEM,,(Updated,09/01/2024 10,28),,,
2023-09-27:,14:30:00,17:30:00,Init-Rés1,TP1,C7,1ATP1,BROS LAURENT,,(Updated,18/09/2023 13,48),,,
2023-09-14:,13:30:00,15:30:00,Prog1,TDA,B3,1ATDA,SIGURET ARNAUD,,(Updated,30/08/2023 11,49),,,
2023-10-06:,11:30:00,13:30:00,SAE11,TDB-PT,"B6,C1",1ATDB,,(Updated,25/08/2023 13,10),,,,
2023-11-17:,09:00:00,11:00:00,Syst1,TP2,C5,1ATP2,JACQUET FREDERIQUE,,(Updated,06/11/2023 18,30),,,
2023-10-10:,14:00:00,17:00:00,Init-Rés1,TP4,B8,1ATP4,FREITAS ANTONIO,,(Updated,03/10/2023 17,53),,,
2023-11-22:,07:00:00,09:00:00,SAE15,TP3-Bash,C5,1ATP3,JACQUET FREDERIQUE,,(Updated,27/11/2023 16,14),,,
2023-10-24:,13:30:00,14:30:00,SAE11,TP4,B8,1ATP4,JACQUET FREDERIQUE,,(Updated,10/10/2023 13,35),,,
2023-09-20:,08:00:00,10:00:00,Prog1,TP2,B8,1ATP2,ZAYENE MARIEM,,(Updated,25/08/2023 13,32),,,
2023-11-21:,15:00:00,17:00:00,Soutien math/info,,"A6,B8",1ATDC,,(Updated,20/11/2023 09,46),,,,
2023-11-16:,15:00:00,17:00:00,Anglais1,TP3,Labo multimédia A105,1ATP3,GORDON NATHALIE,,(Updated,21/10/2023 13,33),,,
2023-11-13:,09:00:00,10:00:00,Math-Trans1,Cours,A5-A5bis,1A,COURSIMAULT DAVID,,(Updated,16/10/2023 18,36),,,
2023-11-08:,09:00:00,11:00:00,Syst1,TP2,C5,1ATP2,JACQUET FREDERIQUE,,(Updated,18/10/2023 10,24),,,
2023-09-12:,13:30:00,15:30:00,Syst1,TDB,B3,1ATDB,JACQUET FREDERIQUE,,(Updated,10/07/2023 13,02),,,
2024-01-16:,12:30:00,14:30:00,SAE15,TDA,B3,1ATDA,HABACHI OUSSAMA,,(Updated,19/12/2023 12,35),,,
2023-10-20:,08:00:00,10:00:00,Syst1,TP5,C5,1ATP5,JACQUET FREDERIQUE,,(Updated,28/09/2023 11,10),,,
2024-01-23:,12:30:00,14:30:00,SAE15,TP2,B3,1ATP2,HAYEK FREDERIC,,(Updated,27/11/2023 16,23),,,
2023-12-04:,09:00:00,11:00:00,Math-Trans1,TDB,A8,1ATDB,BENGANA FAYCAL,,(Updated,25/10/2023 11,49),,,
2023-11-07:,10:00:00,11:00:00,Archi-Rés1,Cours,A5-A5bis,1A,FREITAS ANTONIO,,(Updated,13/10/2023 11,13),,,
2023-11-08:,12:00:00,15:00:00,Elec1,TP1,B1bis,1ATP1,CAPALLERA FLORENCE,,(Updated,13/10/2023 11,28),,,
2023-11-14:,16:30:00,18:30:00,Soutien math/info,,"A8,C5",1ATDA,,(Updated,15/11/2023 16,07),,,,
2023-12-15:,07:00:00,09:00:00,SAE12,TDA,B8,1ATDA,HERNANDEZ SEBASTIEN,,(Updated,09/11/2023 16,43),,,
2023-10-27:,08:00:00,09:00:00,SAE11,TP5,B8,1ATP5,JACQUET FREDERIQUE,,(Updated,10/10/2023 13,16),,,
2024-01-18:,14:30:00,16:30:00,SAE15,TP5,B3,1ATP5,HAYEK FREDERIC,,(Updated,18/12/2023 10,36),,,
2023-11-28:,10:30:00,11:00:00,Elec1,Examen,A5-A5bis,1A,CAPALLERA FLORENCE,,(Updated,15/11/2023 15,54),,,
2023-12-13:,09:00:00,11:00:00,RLAN1,TDC,C7,1ATDC,HERNANDEZ SEBASTIEN,,(Updated,08/12/2023 12,44),,,
2024-01-19:,07:00:00,09:00:00,Anglais1,TP1,B2,1ATP1,BEIGNON D AGOSTINO LAURE,,(Updated,19/12/2023 10,34),,,
2023-12-08:,07:00:00,09:00:00,Math-Trans1,TDB,A5,1ATDB,BENGANA FAYCAL,,(Updated,25/10/2023 11,49),,,
2023-10-19:,13:30:00,15:30:00,Anglais1,TP4,B2,1ATP4,BEIGNON D AGOSTINO LAURE,,(Updated,28/09/2023 11,26),,,
2024-01-19:,14:30:00,15:30:00,SAE14,TP3,B3,1ATP3,HABACHI OUSSAMA,,(Updated,21/12/2023 11,23),,,
2023-09-14:,14:00:00,16:00:00,Syst1,TDC,C5,1ATDC,JACQUET FREDERIQUE,,(Updated,11/09/2023 16,08),,,
2024-01-09:,09:00:00,11:00:00,PPP1,TDA,B7,1ATDA,GIRAUD NADINE,,(Updated,27/11/2023 15,28),,,
2023-11-08:,07:00:00,09:00:00,Syst1,TP3,C5,1ATP3,JACQUET FREDERIQUE,,(Updated,13/10/2023 11,47),,,
2023-12-20:,07:00:00,09:00:00,Math-Trans1,TDC,A5bis,1ATDC,MATAR HOUSSEIN,,(Updated,09/11/2023 17,07),,,
2024-02-02:,10:00:00,11:00:00,Admin_Sys2,Cours,A5-A5bis,1A,HERNANDEZ SEBASTIEN,,(Updated,08/01/2024 18,15),,,
2023-09-21:,13:30:00,15:30:00,Math-Signal1,TDA,A8,1ATDA,MATAR HOUSSEIN,,(Updated,25/09/2023 11,14),,,
2023-10-03:,06:00:00,08:00:00,Prog1,TDC,C5,1ATDC,PERRIOT ROMAIN,,(Updated,25/09/2023 13,48),,,
2023-12-20:,12:30:00,14:30:00,SAE14,TDC-PT,"B6,C7",1ATDC,,(Updated,27/11/2023 15,24),,,,
2023-09-28:,13:30:00,15:30:00,SAE12,TP3,B8,1ATP3,FREITAS ANTONIO,,(Updated,03/10/2023 11,00),,,
2023-10-09:,08:00:00,10:00:00,Init-Rés1,TDA,B8,1ATDA,FREITAS ANTONIO,,(Updated,25/09/2023 16,36),,,
2023-11-07:,12:30:00,14:30:00,Prog1,TP1,C5,1ATP1,SIGURET ARNAUD,,(Updated,29/10/2023 18,08),,,
2023-09-18:,11:30:00,13:30:00,Telecom1,TDB,A8,1ATDB,CAPALLERA FLORENCE,,(Updated,15/09/2023 18,34),,,
2023-12-21:,12:30:00,14:30:00,SAE15,TDC-PT,"A5bis,A5",1ATDC,,(Updated,15/12/2023 10,47),,,,
2023-09-18:,11:30:00,13:30:00,Archi-Sys1,TDC,A5bis,1ATDC,JACQUET JEAN-PAUL,,(Updated,15/09/2023 18,34),,,
2023-09-25:,13:30:00,15:30:00,SAE11,TDC-PT,"B1bis,C5",1ATDC,,(Updated,24/09/2023 18,33),,,,
2023-09-21:,08:00:00,10:00:00,SAE11,TDA,B3,1ATDA,JACQUET FREDERIQUE,,(Updated,15/09/2023 17,30),,,
2023-11-28:,12:30:00,14:30:00,Gest_projet,TDB,A5bis,1ATDB,MAYET KARINE,,(Updated,20/11/2023 09,58),,,
2023-11-13:,12:30:00,14:30:00,SAE13,TDB,A8,1ATDB,CAPALLERA FLORENCE,,(Updated,13/11/2023 16,54),,,
2023-09-13:,08:00:00,10:00:00,Prog1,TDA,B3,1ATDA,SIGURET ARNAUD,,(Updated,10/07/2023 12,48),,,
2023-11-28:,15:00:00,17:00:00,Anglais1,TP2,Labo multimédia A105,1ATP2,GORDON NATHALIE,,(Updated,13/11/2023 13,03),,,
2023-10-16:,11:30:00,13:30:00,Elec1,TDA,A5bis,1ATDA,CAPALLERA FLORENCE,,(Updated,05/10/2023 18,50),,,
2023-12-15:,12:00:00,14:00:00,Soutien math/info,,"B8,A5",1ATDB,,(Updated,11/12/2023 16,54),,,,
2023-12-13:,12:00:00,15:00:00,Telecom1,TP3,C1,1ATP3,CAPALLERA FLORENCE,,(Updated,20/11/2023 10,34),,,
2023-11-15:,15:00:00,18:00:00,Init-Rés1,TP3,B8,1ATP3,DELOS HUGO,,(Updated,20/11/2023 10,24),,,
2023-09-20:,08:00:00,10:00:00,Prog1,TP1,C5,1ATP1,SIGURET ARNAUD,,(Updated,25/08/2023 13,32),,,
2023-12-14:,15:00:00,18:00:00,Telecom1,TP4,C1,1ATP4,CAPALLERA FLORENCE,,(Updated,06/12/2023 09,25),,,
2023-11-16:,09:00:00,11:00:00,Com1,TP5,B7,1ATP5,GIRAUD NADINE,,(Updated,16/10/2023 18,35),,,
2023-11-08:,08:00:00,11:00:00,Init-Rés1,TP5,C1bis,1ATP5,FREITAS ANTONIO,,(Updated,29/10/2023 18,04),,,
2023-11-20:,09:00:00,11:00:00,Math-Trans1,TDB,A5bis,1ATDB,BENGANA FAYCAL,,(Updated,25/10/2023 11,47),,,
2023-11-15:,12:30:00,15:30:00,Init-Rés1,TP2,C7,1ATP2,HERNANDEZ SEBASTIEN,,(Updated,24/10/2023 13,48),,,
2023-11-21:,12:30:00,14:30:00,SAE15,TDB,B3,1ATDB,JACQUET FREDERIQUE,,(Updated,15/11/2023 16,13),,,
2023-09-21:,13:30:00,15:30:00,Prog1,TP4,C5,1ATP4,PERRIOT ROMAIN,,(Updated,12/09/2023 16,47),,,
2023-10-26:,08:00:00,10:00:00,Syst1,TP2,C5,1ATP2,JACQUET FREDERIQUE,,(Updated,10/10/2023 18,34),,,
2023-11-28:,15:00:00,18:00:00,Archi-Rés1,TP4,B8,1ATP4,FREITAS ANTONIO,,(Updated,09/11/2023 18,25),,,
2023-12-01:,15:00:00,17:00:00,Soutien math/info,,"A6,B6",1ATDA,,(Updated,27/11/2023 15,34),,,,
2024-01-11:,09:00:00,11:00:00,SAE14,TP2,B2,1ATP2,BEIGNON D AGOSTINO LAURE,,(Updated,27/11/2023 15,54),,,
2024-02-01:,07:00:00,09:00:00,Internet2,TDA,A5bis,1ATDA,JACQUET FREDERIQUE,,(Updated,09/01/2024 10,25),,,
2023-12-08:,12:30:00,14:30:00,SAE14,TDA-PT,"B6,B4",1ATDA,,(Updated,28/11/2023 18,47),,,,
2023-09-20:,06:00:00,08:00:00,Init-Rés1,TDB,B8,1ATDB,HERNANDEZ SEBASTIEN,,(Updated,25/09/2023 12,19),,,
2023-11-09:,12:30:00,14:30:00,Math-Signal1,TDA,A8,1ATDA,MATAR HOUSSEIN,,(Updated,13/10/2023 11,29),,,
2023-11-15:,12:30:00,14:30:00,Com1,TP3,B7,1ATP3,GIRAUD NADINE,,(Updated,16/10/2023 19,05),,,
2023-09-27:,08:00:00,10:00:00,SAE11,TDB-PT,"B6,B3",1ATDB,,(Updated,24/09/2023 18,38),,,,
2024-01-10:,07:00:00,09:00:00,RLAN1,TDC,C1bis,1ATDC,HERNANDEZ SEBASTIEN,,(Updated,19/12/2023 15,39),,,
2024-01-18:,14:30:00,16:30:00,SAE15,TDB-PT,"C5,B6",1ATDB,,(Updated,18/12/2023 10,36),,,,
2023-09-13:,08:00:00,09:00:00,Soutenances LPro,,B4,1ATP5,,(Updated,08/09/2023 16,54),,,,
2023-11-06:,07:00:00,09:00:00,Prog1,TP5,C5,1ATP5,SIGURET ARNAUD,,(Updated,29/10/2023 18,08),,,
2024-01-23:,09:00:00,11:00:00,PPP1,TDA,B7,1ATDA,GIRAUD NADINE,,(Updated,27/11/2023 15,29),,,
2023-09-14:,11:30:00,13:30:00,Prog1,TDC,B3,1ATDC,PERRIOT ROMAIN,,(Updated,12/09/2023 16,45),,,
2024-01-17:,07:30:00,08:30:00,Anglais1,Examen,Salle examen MPC003,1A,BEIGNON D AGOSTINO LAURE,,(Updated,27/11/2023 15,55),,,
2024-01-29:,08:00:00,09:00:00,Math-Num2,Cours,A5-A5bis,1A,COURSIMAULT DAVID,,(Updated,09/01/2024 10,13),,,
2023-12-12:,14:30:00,16:30:00,Anglais1,TP4,Labo multimédia A105,1ATP4,GORDON NATHALIE,,(Updated,13/12/2023 11,14),,,
2023-09-15:,08:00:00,09:00:00,SAE12,Cours,A5-A5bis,1A,HERNANDEZ SEBASTIEN,,(Updated,08/09/2023 13,01),,,
2023-10-25:,08:00:00,10:00:00,Archi-Sys1,Examen,Salle examen MPC003,1A,JACQUET JEAN-PAUL,,(Updated,12/09/2023 11,44),,,
2024-01-10:,09:00:00,11:00:00,SAE14,TP4,B2,1ATP4,BEIGNON D AGOSTINO LAURE,,(Updated,27/11/2023 15,55),,,
2023-09-21:,06:00:00,08:00:00,Syst1,TDB,B3,1ATDB,JACQUET FREDERIQUE,,(Updated,07/07/2023 13,12),,,
2023-12-01:,09:00:00,11:00:00,SAE12,TDA-PT,"B3,C1bis",1ATDA,,(Updated,27/11/2023 10,58),,,,
2023-12-13:,15:00:00,18:00:00,Elec1,TP2,C1,1ATP2,CAPALLERA FLORENCE,,(Updated,04/12/2023 10,30),,,
2024-01-26:,12:30:00,14:00:00,SAE12,TP2_Exam,B6,1ATP2,ZAYENE MARIEM,,(Updated,20/12/2023 10,09),,,
2023-10-25:,11:30:00,12:30:00,SAE11,TP3,B8,1ATP3,JACQUET FREDERIQUE,,(Updated,10/10/2023 18,29),,,
2024-01-09:,12:00:00,15:00:00,SAE13,TP4,C1,1ATP4,CAPALLERA FLORENCE,,(Updated,27/11/2023 15,48),,,
2023-12-15:,07:00:00,09:00:00,Math-Trans1,TDB,A5,1ATDB,BENGANA FAYCAL,,(Updated,05/12/2023 18,14),,,
2023-10-25:,11:30:00,14:30:00,Init-Rés1,TP5,C7,1ATP5,FREITAS ANTONIO,,(Updated,10/10/2023 18,42),,,
2023-11-09:,14:30:00,16:30:00,Prog1,TP2,B3,1ATP2,ZAYENE MARIEM,,(Updated,07/11/2023 17,40),,,
2024-02-02:,07:00:00,09:00:00,Anglais2,TP4,B2,1ATP4,BEIGNON D AGOSTINO LAURE,,(Updated,08/01/2024 18,31),,,
2023-11-14:,14:30:00,16:30:00,Anglais1,TP2,B2,1ATP2,BEIGNON D AGOSTINO LAURE,,(Updated,16/10/2023 19,13),,,
2024-01-19:,08:00:00,11:00:00,RLAN1,TP4,B8,1ATP4,CHEBBI SAMAR,,(Updated,27/11/2023 16,21),,,
2024-01-23:,08:00:00,11:00:00,SAE13,TP5,C1,1ATP5,CAPALLERA FLORENCE,,(Updated,27/11/2023 15,49),,,
2023-11-07:,07:30:00,08:30:00,Syst1,Exam,Salle examen MPC003,1A,JACQUET FREDERIQUE,,(Updated,17/10/2023 15,50),,,
2023-11-13:,10:00:00,11:00:00,Math-Trans1,Cours,A5-A5bis,1A,COURSIMAULT DAVID,,(Updated,16/10/2023 18,36),,,
2023-11-23:,09:00:00,11:00:00,Anglais1,TP4,B2,1ATP4,BEIGNON D AGOSTINO LAURE,,(Updated,31/10/2023 19,13),,,
2023-10-19:,06:00:00,08:00:00,Syst1,TP4,B3,1ATP4,WEZL MICHAEL,,(Updated,16/10/2023 17,39),,,
2023-09-19:,11:30:00,13:30:00,Init-Rés1,TDB,B8,1ATDB,HERNANDEZ SEBASTIEN,,(Updated,25/09/2023 12,19),,,
2023-09-13:,11:30:00,13:30:00,Prog1,TDB,B3,1ATDB,SIGURET ARNAUD,,(Updated,10/07/2023 13,02),,,
2023-10-02:,11:30:00,13:30:00,Archi-Sys1,TDB,A5,1ATDB,JACQUET JEAN-PAUL,,(Updated,25/09/2023 13,26),,,
2023-09-15:,13:30:00,15:30:00,Telecom1,TDA,A5bis,1ATDA,CAPALLERA FLORENCE,,(Updated,10/07/2023 13,04),,,
2023-11-20:,12:30:00,14:30:00,Archi-Rés1,TDC,B6,1ATDC,FREITAS ANTONIO,,(Updated,14/11/2023 10,29),,,
2023-11-22:,15:30:00,18:30:00,Init-Rés1,TP1,C7,1ATP1,BROS LAURENT,,(Updated,19/10/2023 16,50),,,
2023-10-09:,07:00:00,08:00:00,Math-Signal1,Cours,A5-A5bis,1A,COURSIMAULT DAVID,,(Updated,25/09/2023 16,25),,,
2023-11-14:,12:30:00,14:30:00,SAE15,TDB,B3,1ATDB,JACQUET FREDERIQUE,,(Updated,31/10/2023 17,59),,,
2024-01-18:,07:00:00,09:00:00,Math-Trans1,TDC,B3,1ATDC,MATAR HOUSSEIN,,(Updated,19/12/2023 12,32),,,
2023-09-18:,09:00:00,10:00:00,SAE12,Cours,A5-A5bis,1A,HERNANDEZ SEBASTIEN,,(Updated,11/07/2023 17,10),,,
2023-11-06:,09:00:00,11:00:00,SAE15,TDC,C5,1ATDC,JACQUET FREDERIQUE,,(Updated,29/10/2023 18,01),,,
2023-10-24:,07:00:00,10:00:00,Elec1,TP1,B1bis,1ATP1,CAPALLERA FLORENCE,,(Updated,10/10/2023 13,07),,,
2023-12-19:,08:00:00,11:00:00,Archi-Sys1 Exam,TP3,C5,1ATP3,PERRIOT ROMAIN,,(Updated,09/11/2023 17,19),,,
2023-09-14:,08:00:00,09:00:00,Soutenances LPro,,B7,1ATP1,,(Updated,10/07/2023 13,02),,,,
2023-12-20:,15:00:00,18:00:00,Archi-Rés1,TP1,C1bis,1ATP1,BROS LAURENT,,(Updated,20/11/2023 10,36),,,
2023-11-13:,08:00:00,09:00:00,Archi-Rés1,Cours,A5-A5bis,1A,FREITAS ANTONIO,,(Updated,10/10/2023 13,01),,,
2024-01-11:,09:00:00,11:00:00,SAE15,TP3,B3,1ATP3,PERRIOT ROMAIN,,(Updated,09/01/2024 15,59),,,
2023-10-10:,08:00:00,10:00:00,Web1,TDB,B3,1ATDB,HABACHI OUSSAMA,,(Updated,03/10/2023 17,56),,,
2024-01-26:,12:30:00,14:00:00,SAE12,TP1_Exam,B3,1ATP1,HERNANDEZ SEBASTIEN,,(Updated,20/12/2023 10,17),,,
2023-11-24:,12:30:00,14:30:00,SAE12,TDC-PT,"C1bis,B6",1ATDC,,(Updated,20/11/2023 10,08),,,,
2023-12-14:,09:00:00,11:00:00,Prog1,TP4,B3,1ATP4,PERRIOT ROMAIN,,(Updated,01/12/2023 10,00),,,
2023-10-23:,11:30:00,13:30:00,Elec1,TDC,A5bis,1ATDC,CAPALLERA FLORENCE,,(Updated,10/10/2023 18,40),,,
2023-09-29:,11:30:00,13:30:00,SAE11,TDB,B3,1ATDB,JACQUET FREDERIQUE,,(Updated,24/08/2023 19,17),,,
2024-02-01:,09:00:00,11:00:00,Com2,TDA,B7,1ATDA,GIRAUD NADINE,,(Updated,09/01/2024 10,25),,,
2023-11-16:,09:00:00,11:00:00,Math-Trans1,TDA,A8,1ATDA,COURSIMAULT DAVID,,(Updated,31/10/2023 17,58),,,
2023-12-14:,12:30:00,14:30:00,SAE14,TDB-PT,"B3,B4",1ATDB,,(Updated,06/12/2023 09,26),,,,
2023-11-10:,12:30:00,14:30:00,Math-Signal1,TDB,A8,1ATDB,COURSIMAULT DAVID,,(Updated,13/10/2023 11,18),,,
2024-01-12:,08:00:00,11:00:00,RLAN1,TP4,C1bis,1ATP4,CHEBBI SAMAR,,(Updated,27/11/2023 14,57),,,
2023-11-20:,08:00:00,11:00:00,Elec1,TP5,B1bis,1ATP5,CAPALLERA FLORENCE,,(Updated,31/10/2023 18,29),,,
2024-01-10:,12:30:00,14:30:00,SAE15,TP5,C5,1ATP5,HAYEK FREDERIC,,(Updated,13/12/2023 11,42),,,
2023-10-19:,08:00:00,10:00:00,Syst1,TP1,B3,1ATP1,WEZL MICHAEL,,(Updated,16/10/2023 17,40),,,
2023-12-08:,15:30:00,17:30:00,Soutien math/info,,"B3,A5bis",1ATDB,,(Updated,04/12/2023 14,44),,,,
2023-09-18:,11:30:00,13:30:00,Init-Rés1,TDA,B8,1ATDA,FREITAS ANTONIO,,(Updated,25/09/2023 12,18),,,
2023-09-21:,11:30:00,13:30:00,PPP1,TDA,B7,1ATDA,GIRAUD NADINE,,(Updated,07/07/2023 13,43),,,
2024-01-30:,08:00:00,09:00:00,BD2,Cours,A5-A5bis,1A,HABACHI OUSSAMA,,(Updated,08/01/2024 18,19),,,
2023-10-06:,06:00:00,08:00:00,SAE12,TP5,B8,1ATP5,HERNANDEZ SEBASTIEN,,(Updated,25/09/2023 16,59),,,
2023-10-23:,08:00:00,10:00:00,Elec1,TDA,A5,1ATDA,CAPALLERA FLORENCE,,(Updated,10/10/2023 13,01),,,
2024-01-26:,14:00:00,15:30:00,SAE12,TP5_Exam,C7,1ATP5,HERNANDEZ SEBASTIEN,,(Updated,27/11/2023 15,52),,,
2023-09-22:,11:30:00,13:30:00,Math-Signal1,TDB,A5,1ATDB,COURSIMAULT DAVID,,(Updated,11/09/2023 15,41),,,
2023-12-19:,15:00:00,18:00:00,Archi-Rés1,TP4,B8,1ATP4,FREITAS ANTONIO,,(Updated,09/11/2023 16,46),,,
2023-10-27:,11:30:00,12:30:00,SAE11,TP1,B8,1ATP1,JACQUET FREDERIQUE,,(Updated,10/10/2023 13,12),,,
2023-10-27:,13:30:00,14:30:00,SAE11,TP1,B8,1ATP1,JACQUET FREDERIQUE,,(Updated,10/10/2023 13,12),,,
2023-10-20:,11:30:00,13:30:00,Prog1,TP4,B3,1ATP4,PERRIOT ROMAIN,,(Updated,05/10/2023 18,47),,,
2023-11-06:,14:30:00,16:30:00,Com1,TP5,B7,1ATP5,GIRAUD NADINE,,(Updated,29/10/2023 18,04),,,
2024-01-22:,15:00:00,18:00:00,SAE13,TP4,C1,1ATP4,CAPALLERA FLORENCE,,(Updated,14/12/2023 16,48),,,
2023-09-21:,08:00:00,10:00:00,Math-Signal1,TDC,A5bis,1ATDC,BOUAYED AYMENE,,(Updated,10/10/2023 11,17),,,
2023-10-03:,11:30:00,13:30:00,Prog1,TDA,B3,1ATDA,SIGURET ARNAUD,,(Updated,07/07/2023 13,33),,,
2023-12-07:,12:30:00,14:30:00,Math-Trans1,TDA,A6,1ATDA,COURSIMAULT DAVID,,(Updated,09/11/2023 16,02),,,
2023-09-25:,08:00:00,10:00:00,Init-Rés1,TDC,B8,1ATDC,FREITAS ANTONIO,,(Updated,25/09/2023 12,19),,,
2023-12-04:,09:00:00,11:00:00,Anglais1,TP5,Labo multimédia A105,1ATP5,GORDON NATHALIE,,(Updated,03/12/2023 13,21),,,
2023-11-30:,07:00:00,09:00:00,Syst1 Exam,TP3,C5,1ATP3,JACQUET FREDERIQUE,,(Updated,23/11/2023 10,34),,,
2023-12-05:,15:00:00,17:00:00,Anglais1,TP2,Labo multimédia A105,1ATP2,GORDON NATHALIE,,(Updated,13/11/2023 13,03),,,
2023-10-27:,12:30:00,13:30:00,SAE11,TP1,B8,1ATP1,JACQUET FREDERIQUE,,(Updated,10/10/2023 13,12),,,
2023-12-04:,08:00:00,11:00:00,Archi-Sys1,TP2,C5,1ATP2,PERRIOT ROMAIN,,(Updated,09/11/2023 12,47),,,
2023-10-16:,11:30:00,13:30:00,Archi-Sys1,TDC,A8,1ATDC,JACQUET JEAN-PAUL,,(Updated,11/09/2023 17,10),,,
